state,district,ga_id,ga_name,entity,entity_group,note
Andhra Pradesh,Alluri Sitharama Raju,1.04,Kakinada,Bhagyanagar Gas Limited,Bhagyanagar Gas Limited,successor of pre-2022 district
Andhra Pradesh,Alluri Sitharama Raju,5.03,East Godavari District (EAAA),Godavari Gas Private Limited,Godavari Gas Private Limited,successor of pre-2022 district
Andhra Pradesh,Anakapalli,9.01,"Srikakulam, Visakhapatnam & Vizianagaram Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,successor of pre-2022 district
Andhra Pradesh,Anantapuramu,10.01,Anantapur and YSR (Kadapa) Districts,AGP City Gas Private Limited,AGP / AG&P Pratham,successor of pre-2022 district
Andhra Pradesh,Annamayya,10.01,Anantapur and YSR (Kadapa) Districts,AGP City Gas Private Limited,AGP / AG&P Pratham,Kadapa; successor of pre-2022 district
Andhra Pradesh,Bapatla,11.01,"Kurnool, Guntur, and Prakasam districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,successor of pre-2022 district
Andhra Pradesh,Chittoor,10.03,"Chittoor, Kolar and Vellore Districts",AGP City Gas Private Limited,AGP / AG&P Pratham,
Andhra Pradesh,East Godavari,1.04,Kakinada,Bhagyanagar Gas Limited,Bhagyanagar Gas Limited,
Andhra Pradesh,East Godavari,5.03,East Godavari District (EAAA),Godavari Gas Private Limited,Godavari Gas Private Limited,
Andhra Pradesh,Eluru,5.04,West Godavari District,Godavari Gas Private Limited,Godavari Gas Private Limited,successor of pre-2022 district
Andhra Pradesh,Guntur,11.01,"Kurnool, Guntur, and Prakasam districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Andhra Pradesh,Kakinada,1.04,Kakinada,Bhagyanagar Gas Limited,Bhagyanagar Gas Limited,successor of pre-2022 district
Andhra Pradesh,Kakinada,5.03,East Godavari District (EAAA),Godavari Gas Private Limited,Godavari Gas Private Limited,successor of pre-2022 district
Andhra Pradesh,Konaseema,1.04,Kakinada,Bhagyanagar Gas Limited,Bhagyanagar Gas Limited,successor of pre-2022 district
Andhra Pradesh,Konaseema,5.03,East Godavari District (EAAA),Godavari Gas Private Limited,Godavari Gas Private Limited,successor of pre-2022 district
Andhra Pradesh,Krishna,5.06,Krishna District (EAAA),Megha City Gas Distribution Private Limited,Megha City Gas Distribution Private Limited,
Andhra Pradesh,Krishna,99.06,Vijaywada,Bhagyanagar Gas Limited,Bhagyanagar Gas Limited,
Andhra Pradesh,Kurnool,11.01,"Kurnool, Guntur, and Prakasam districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Andhra Pradesh,NTR,5.06,Krishna District (EAAA),Megha City Gas Distribution Private Limited,Megha City Gas Distribution Private Limited,successor of pre-2022 district
Andhra Pradesh,NTR,99.06,Vijaywada,Bhagyanagar Gas Limited,Bhagyanagar Gas Limited,successor of pre-2022 district
Andhra Pradesh,Nandyal,11.01,"Kurnool, Guntur, and Prakasam districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,successor of pre-2022 district
Andhra Pradesh,Palnadu,11.01,"Kurnool, Guntur, and Prakasam districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,successor of pre-2022 district
Andhra Pradesh,Parvathipuram Manyam,9.01,"Srikakulam, Visakhapatnam & Vizianagaram Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,successor of pre-2022 district
Andhra Pradesh,Prakasam,11.01,"Kurnool, Guntur, and Prakasam districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Andhra Pradesh,Sri Potti Sriramulu Nellore,10.02,Sri Potti Sriramulu Nellore District,AGP City Gas Private Limited,AGP / AG&P Pratham,
Andhra Pradesh,Sri Sathya Sai,10.01,Anantapur and YSR (Kadapa) Districts,AGP City Gas Private Limited,AGP / AG&P Pratham,successor of pre-2022 district
Andhra Pradesh,Srikakulam,9.01,"Srikakulam, Visakhapatnam & Vizianagaram Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Andhra Pradesh,Tirupati,10.03,"Chittoor, Kolar and Vellore Districts",AGP City Gas Private Limited,AGP / AG&P Pratham,successor of pre-2022 district
Andhra Pradesh,Visakhapatnam,9.01,"Srikakulam, Visakhapatnam & Vizianagaram Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Andhra Pradesh,Vizianagaram,9.01,"Srikakulam, Visakhapatnam & Vizianagaram Districts",Indian Oil Corporation Limited,Indian Oil Corporation Limited,
Andhra Pradesh,West Godavari,5.04,West Godavari District,Godavari Gas Private Limited,Godavari Gas Private Limited,
Andhra Pradesh,YSR,10.01,Anantapur and YSR (Kadapa) Districts,AGP City Gas Private Limited,AGP / AG&P Pratham,Kadapa
Arunachal Pradesh,Anjaw,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Changlang,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,East Kameng,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,East Siang,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Kamle,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Kra Daadi,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Kurung Kumey,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Lepa Rada,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Lohit,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Longding,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Lower Dibang Valley,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Lower Siang,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Lower Subansiri,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Namsai,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Pakke Kessang,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Papum Pare,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Shi Yomi,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Siang,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Tawang,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Tirap,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
Arunachal Pradesh,Upper Dibang Valley,12.01,Arunachal Pradesh State,GAIL Gas Limited,GAIL Gas Limited,
